exposure_year,analysis_id,window_id,species,life_stage,window_start_date,window_end_date,primary_return_year,return_year_in_1997_2025,alignment_definition,expected_days,observed_grab_sample_dates,observed_grab_samples,t1_complete_days,t1_window_mean_proxy_c,t1_window_max_modeled_daily_proxy_c,t1_window_max_modeled_daily_proxy_date,t1_window_max_within_window_7day_mean_proxy_c,t1_window_max_within_window_7day_mean_date,t1_days_proxy_ge_17_5c,t1_days_proxy_ge_19c,t1_days_proxy_ge_21c,t1_longest_proxy_spell_ge_17_5c_days,t1_extrapolation_days,t1_extrapolation_pct,t2_complete_days,t2_window_mean_proxy_c,t2_window_max_modeled_daily_proxy_c,t2_window_max_modeled_daily_proxy_date,t2_window_max_within_window_7day_mean_proxy_c,t2_window_max_within_window_7day_mean_date,t2_days_proxy_ge_17_5c,t2_days_proxy_ge_19c,t2_days_proxy_ge_21c,t2_longest_proxy_spell_ge_17_5c_days,t2_extrapolation_days,t2_extrapolation_pct,t2_minus_t1_window_mean_c,value_status,metric_warning
2008,A1,aug15_sep30,Chinook,adult_migration,2008-08-15,2008-09-30,2008,true,adult migration exposure_year = return_year,47,3,3,47,14.07,17.656,2008-08-16,16.499,2008-08-21,2,0,0,2,0,0.0,47,14.082,17.689,2008-08-16,16.509,2008-08-21,2,0,0,2,0,0.0,0.012,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2008,A3,sep15_oct31,Coho,adult_migration,2008-09-15,2008-10-31,2008,true,adult migration exposure_year = return_year,47,2,2,47,11.136,14.415,2008-09-16,13.715,2008-09-21,0,0,0,0,0,0.0,47,11.208,14.459,2008-09-17,13.779,2008-09-21,0,0,0,0,0,0.0,0.073,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2009,A5,jun_sep,Coho,juvenile_rearing,2009-06-01,2009-09-30,2011,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,5,5,122,14.999,19.837,2009-07-29,18.539,2009-08-02,7,2,0,7,6,4.918,122,15.027,19.874,2009-07-29,18.548,2009-08-02,7,2,0,7,6,4.918,0.028,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2009,A1,aug15_sep30,Chinook,adult_migration,2009-08-15,2009-09-30,2009,true,adult migration exposure_year = return_year,47,1,1,47,14.472,16.598,2009-08-19,15.87,2009-08-23,0,0,0,0,0,0.0,47,14.491,16.602,2009-08-19,15.889,2009-08-23,0,0,0,0,0,0.0,0.02,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2009,A3,sep15_oct31,Coho,adult_migration,2009-09-15,2009-10-31,2009,true,adult migration exposure_year = return_year,47,1,1,47,11.546,15.276,2009-09-15,14.52,2009-09-21,0,0,0,0,0,0.0,47,11.572,15.326,2009-09-15,14.553,2009-09-21,0,0,0,0,0,0.0,0.026,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2010,A5,jun_sep,Coho,juvenile_rearing,2010-06-01,2010-09-30,2012,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,5,5,122,14.084,17.865,2010-08-15,16.8,2010-08-19,2,0,0,2,0,0.0,122,14.007,17.814,2010-08-15,16.753,2010-08-19,1,0,0,1,0,0.0,-0.077,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2010,A1,aug15_sep30,Chinook,adult_migration,2010-08-15,2010-09-30,2010,true,adult migration exposure_year = return_year,47,2,2,47,14.182,17.865,2010-08-15,16.268,2010-08-21,2,0,0,2,0,0.0,47,14.142,17.814,2010-08-15,16.22,2010-08-21,1,0,0,1,0,0.0,-0.04,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2010,A3,sep15_oct31,Coho,adult_migration,2010-09-15,2010-10-31,2010,true,adult migration exposure_year = return_year,47,1,1,47,11.792,14.385,2010-09-18,13.841,2010-09-21,0,0,0,0,0,0.0,47,11.764,14.369,2010-09-27,13.792,2010-09-21,0,0,0,0,0,0.0,-0.028,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2011,A5,jun_sep,Coho,juvenile_rearing,2011-06-01,2011-09-30,2013,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,4,122,14.343,16.453,2011-08-26,16.137,2011-08-27,0,0,0,0,0,0.0,122,14.296,16.407,2011-08-26,16.1,2011-08-27,0,0,0,0,0,0.0,-0.046,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2011,A1,aug15_sep30,Chinook,adult_migration,2011-08-15,2011-09-30,2011,true,adult migration exposure_year = return_year,47,1,1,47,14.815,16.453,2011-08-26,16.137,2011-08-27,0,0,0,0,0,0.0,47,14.801,16.407,2011-08-26,16.1,2011-08-27,0,0,0,0,0,0.0,-0.014,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2011,A3,sep15_oct31,Coho,adult_migration,2011-09-15,2011-10-31,2011,true,adult migration exposure_year = return_year,47,1,1,47,11.722,15.742,2011-09-23,14.7,2011-09-27,0,0,0,0,0,0.0,47,11.721,15.781,2011-09-23,14.71,2011-09-27,0,0,0,0,0,0.0,-0.001,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
